metric,mean(var),std,min,max,var
accuracy,0.784(0.029),0.0290,0.6984,0.8413,0.0008
precision,0.791(0.029),0.0289,0.7102,0.8555,0.0008
recall,0.784(0.029),0.0290,0.6984,0.8413,0.0008
f1_score,0.783(0.029),0.0291,0.6998,0.8375,0.0008

Detailed results:
trial,accuracy,precision,recall,f1_score
1,0.7714,0.7746,0.7714,0.7713
2,0.8095,0.8111,0.8095,0.8098
3,0.8000,0.8047,0.8000,0.7982
4,0.8190,0.8211,0.8190,0.8188
5,0.7746,0.7753,0.7746,0.7746
6,0.7778,0.7831,0.7778,0.7744
7,0.8063,0.8060,0.8063,0.8052
8,0.7746,0.8017,0.7746,0.7673
9,0.8317,0.8383,0.8317,0.8284
10,0.7746,0.7735,0.7746,0.7724
11,0.7333,0.7424,0.7333,0.7352
12,0.7873,0.8021,0.7873,0.7844
13,0.8127,0.8191,0.8127,0.8140
14,0.8413,0.8555,0.8413,0.8372
15,0.7841,0.7882,0.7841,0.7837
16,0.7841,0.7853,0.7841,0.7824
17,0.7556,0.7731,0.7556,0.7547
18,0.7492,0.7589,0.7492,0.7496
19,0.7746,0.7790,0.7746,0.7758
20,0.8095,0.8158,0.8095,0.8091
21,0.8127,0.8132,0.8127,0.8126
22,0.8286,0.8306,0.8286,0.8293
23,0.8063,0.8140,0.8063,0.8044
24,0.8254,0.8292,0.8254,0.8264
25,0.7873,0.7846,0.7873,0.7848
26,0.8000,0.8011,0.8000,0.7989
27,0.7746,0.7751,0.7746,0.7736
28,0.7841,0.7862,0.7841,0.7840
29,0.7460,0.7454,0.7460,0.7449
30,0.8000,0.8177,0.8000,0.8030
31,0.7968,0.8164,0.7968,0.7971
32,0.7587,0.7643,0.7587,0.7580
33,0.6984,0.7102,0.6984,0.6998
34,0.7587,0.7652,0.7587,0.7580
35,0.8381,0.8403,0.8381,0.8375
36,0.8127,0.8153,0.8127,0.8111
37,0.7746,0.7787,0.7746,0.7714
38,0.7619,0.7675,0.7619,0.7606
39,0.7492,0.7624,0.7492,0.7449
40,0.7270,0.7266,0.7270,0.7247
41,0.7524,0.7606,0.7524,0.7491
42,0.7683,0.7747,0.7683,0.7661
43,0.7841,0.7948,0.7841,0.7859
44,0.7937,0.8090,0.7937,0.7914
45,0.7841,0.7864,0.7841,0.7815
46,0.7778,0.7892,0.7778,0.7714
47,0.7778,0.7787,0.7778,0.7762
48,0.7841,0.7940,0.7841,0.7827
49,0.7683,0.7708,0.7683,0.7687
50,0.8159,0.8168,0.8159,0.8162
